Estado civil,Nacionalidade,Migração,Sexo,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Período,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (notas),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (notas),disciplinas 2º semestre (sem avaliações),Target
Solteiro,Portuguesa,Sim,Masculino,20,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Outro - 11º ano de escolaridade,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Trabalhadores Não Qualificados,Não,Não,Sim,Não,10.8,1.4,1.74,17,5,Animação e Design Multimídia,Diurno,Educação secundária,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação Secundária,Educação Superior - Bacharel,Técnicos de Nível Intermediário e Profissões Técnicas,Técnicos de Nível Intermediário e Profissões,Não,Não,Não,Não,13.9,-0.3,0.79,15,1,Turismo,Diurno,Educação secundária,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,19,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Não,Não,10.8,1.4,1.74,1,5,Design de Comunicação,Diurno,Educação secundária,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,20,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores",Técnicos de Nível Intermediário e Profissões,Não,Não,Sim,Não,9.4,-0.8,-3.12,17,2,Jornalismo e Comunicação,Diurno,Educação secundária,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,Graduado
Casado,Portuguesa,Não,Feminino,45,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Não,13.9,-0.3,0.79,39,1,Serviço Social (noturno),Noturno,Educação secundária,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,Graduado
Casado,Portuguesa,Não,Masculino,50,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Sim,Não,16.2,0.3,-0.92,39,1,Gestão (noturno),Noturno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,"Trabalhadores Qualificados na Indústria, Construção e Artesãos",Profissões das Forças Armadas,Não,Não,Sim,Sim,15.5,2.8,-4.06,1,1,Enfermagem,Diurno,Educação secundária,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduado
Solteiro,Portuguesa,Sim,Masculino,22,Não,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Não,Não,15.5,2.8,-4.06,18,4,Turismo,Diurno,Educação secundária,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Desistente
Solteiro,Romena,Não,Feminino,21,Sim,Educação Secundária,Educação Secundária,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,16.2,0.3,-0.92,1,3,Serviço Social,Diurno,Educação secundária,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Secundária,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Funcionários Administrativos,"Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Sim,Não,Não,8.9,1.4,3.51,1,1,Serviço Social,Diurno,Educação secundária,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Desistente
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,"Prestadores de Serviços Pessoais, Trabalhadores de Segurança, Vendedores","Trabalhadores Qualificados na Indústria, Construção e Ofícios",Não,Não,Sim,Não,13.9,-0.3,0.79,1,1,Gestão de Publicidade e Marketing,Diurno,Educação secundária,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,18,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 2º ciclo (6º/7º/8º ano) ou equivalente,Trabalhadores Não Qualificados,Trabalhadores Não Qualificados,Não,Não,Sim,Sim,12.7,3.7,-1.7,1,1,Enfermagem,Diurno,Educação secundária,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,Graduado
Solteiro,Portuguesa,Sim,Feminino,19,Não,Educação Básica - 3º Ciclo (9º/10º/11º ano) ou equivalente,Educação básica - 1º ciclo (4º/5º ano) ou equivalente,Funcionários Administrativos,Trabalhadores Não Qualificados,Não,Não,Sim,Não,12.7,3.7,-1.7,1,2,Educação Básica,Diurno,Educação secundária,0,6,6,0,0.0,0,0,6,0,0,0.0,0,Desistente
