Estado civil,Nacionalidade,Migração,Gênero,Idade na matrícula,Estrangeiro,Qualificação da mãe,Qualificação do pai,Ocupação da mãe,Ocupação do pai,Necessidades educacionais especiais,Devedor,Taxas de matrícula em dia,Bolsista,Taxa de desemprego,Taxa de inflação,PIB,Modo de inscrição,Ordem de inscrição,Curso,Frequência diurna/noturna   ,Qualificação prévia,disciplinas 1º semestre (creditadas),disciplinas 1º semestre (matriculadas),disciplinas 1º semestre (avaliações),disciplinas 1º semestre (aprovadas),disciplinas 1º semestre (nota),disciplinas 1º semestre (sem avaliações),disciplinas 2º semestre (creditadas),disciplinas 2º semestre (matriculadas),disciplinas 2º semestre (avaliações),disciplinas 2º semestre (aprovadas),disciplinas 2º semestre (nota),disciplinas 2º semestre (sem avaliações),Situação
1,1,1,1,20,0,19,12,5,9,0,0,1,0,10.8,1.4,1.74,17,5,171,1,1,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Desistente
1,1,1,1,19,0,1,3,3,3,0,0,0,0,13.9,-0.3,0.79,15,1,9254,1,1,0,6,6,6,14.0,0,0,6,6,6,13.666.666.666.666.600,0,Graduado
1,1,1,1,19,0,37,37,9,9,0,0,0,0,10.8,1.4,1.74,1,5,9070,1,1,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Desistente
1,1,1,0,20,0,38,37,5,3,0,0,1,0,9.4,-0.8,-3.12,17,2,9773,1,1,0,6,8,6,13.428.571.428.571.400,0,0,6,10,5,12.4,0,Graduado
2,1,0,0,45,0,37,38,9,9,0,0,1,0,13.9,-0.3,0.79,39,1,8014,0,1,0,6,9,5,12.333.333.333.333.300,0,0,6,6,6,13.0,0,Graduado
2,1,0,1,50,0,37,37,9,7,0,1,1,0,16.2,0.3,-0.92,39,1,9991,0,19,0,5,10,5,11.857.142.857.142.800,0,0,5,17,5,11.5,5,Graduado
1,1,1,0,18,0,19,38,7,10,0,0,1,1,15.5,2.8,-4.06,1,1,9500,1,1,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduado
1,1,1,1,22,0,37,37,9,9,0,0,0,0,15.5,2.8,-4.06,18,4,9254,1,1,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Desistente
1,62,0,0,21,1,1,1,9,9,0,0,1,1,16.2,0.3,-0.92,1,3,9238,1,1,0,6,8,6,13.875,0,0,6,7,6,14.142.857.142.857.100,0,Graduado
1,1,1,0,18,0,1,19,4,7,0,1,0,0,8.9,1.4,3.51,1,1,9238,1,1,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Desistente
